,lower,upper,x,density,iter
proposal74_3,2.0,3.0,3.0,0.6,7
proposal75_3,2.0,3.0,3.0,0.6,7
proposal76_3,3.0,3.0,3.0,0.6,7
proposal77_3,3.0,3.0,3.0,0.6,7
proposal78_3,2.0,3.0,3.0,0.6,7
proposal79_3,1.0,6.0,2.0,0.6,7
proposal80_3,1.0,6.0,2.0,0.6,7
proposal81_3,2.0,2.0,2.0,0.6,7
proposal82_3,1.0,6.0,2.0,0.6,7
proposal83_3,2.0,2.0,2.0,0.6,7
proposal84_3,1.0,2.0,2.0,0.6,7
proposal85_3,1.0,2.0,2.0,0.6,7
proposal86_3,1.0,2.0,1.0,0.6,7
proposal1_4,6.0,6.0,6.0,0.6,7
proposal2_4,1.0,6.0,6.0,0.6,7
proposal3_4,5.0,6.0,6.0,0.6,7
proposal4_4,1.0,6.0,6.0,0.6,7
proposal5_4,5.0,6.0,6.0,0.6,7
proposal6_4,5.0,6.0,5.0,0.6,7
proposal7_4,1.0,6.0,5.0,0.6,7
proposal8_4,5.0,6.0,5.0,0.6,7
proposal9_4,5.0,6.0,5.0,0.6,7
proposal10_4,1.0,6.0,5.0,0.6,7
proposal11_4,5.0,5.0,5.0,0.6,7
proposal12_4,5.0,5.0,5.0,0.6,7
proposal13_4,1.0,6.0,5.0,0.6,7
proposal14_4,1.0,6.0,5.0,0.6,7
proposal15_4,5.0,5.0,5.0,0.6,7
proposal16_4,1.0,6.0,5.0,0.6,7
proposal17_4,4.0,5.0,5.0,0.6,7
proposal18_4,5.0,5.0,5.0,0.6,7
proposal19_4,5.0,5.0,5.0,0.6,7
proposal20_4,1.0,6.0,5.0,0.6,7
proposal21_4,5.0,5.0,5.0,0.6,7
proposal22_4,1.0,6.0,5.0,0.6,7
proposal23_4,4.0,5.0,4.0,0.6,7
proposal24_4,4.0,5.0,5.0,0.6,7
proposal25_4,4.0,5.0,4.5,0.6,7
proposal26_4,4.0,5.0,4.0,0.6,7
proposal27_4,4.0,4.0,4.0,0.6,7
proposal28_4,1.0,6.0,5.0,0.6,7
proposal29_4,1.0,6.0,4.0,0.6,7
proposal30_4,1.0,6.0,4.0,0.6,7
proposal31_4,4.0,5.0,4.0,0.6,7
proposal32_4,4.0,4.0,4.0,0.6,7
proposal33_4,4.0,4.0,4.0,0.6,7
proposal34_4,1.0,6.0,4.0,0.6,7
proposal35_4,1.0,6.0,4.0,0.6,7
proposal36_4,1.0,6.0,4.0,0.6,7
proposal37_4,4.0,5.0,4.0,0.6,7
proposal38_4,4.0,4.0,4.0,0.6,7
proposal39_4,4.0,4.0,4.0,0.6,7
proposal40_4,4.0,4.0,4.0,0.6,7
proposal41_4,3.0,4.0,4.0,0.6,7
proposal42_4,3.0,4.0,4.0,0.6,7
proposal43_4,4.0,4.0,4.0,0.6,7
proposal44_4,1.0,6.0,4.0,0.6,7
proposal45_4,4.0,4.0,4.0,0.6,7
proposal46_4,3.0,4.0,3.5,0.6,7
proposal47_4,1.0,6.0,4.0,0.6,7
proposal48_4,3.0,4.0,4.0,0.6,7
proposal49_4,1.0,6.0,4.0,0.6,7
proposal50_4,3.0,4.0,4.0,0.6,7
proposal51_4,1.0,6.0,3.5,0.6,7
proposal52_4,3.0,4.0,3.5,0.6,7
proposal53_4,1.0,6.0,4.0,0.6,7
proposal54_4,3.0,3.0,3.0,0.6,7
proposal55_4,1.0,6.0,3.5,0.6,7
proposal56_4,3.0,3.0,3.0,0.6,7
proposal57_4,3.0,3.0,3.0,0.6,7
proposal58_4,3.0,3.0,3.0,0.6,7
proposal59_4,1.0,6.0,3.0,0.6,7
proposal60_4,1.0,6.0,3.0,0.6,7
proposal61_4,3.0,3.0,3.0,0.6,7
proposal62_4,3.0,4.0,3.0,0.6,7
proposal63_4,1.0,6.0,3.0,0.6,7
proposal64_4,3.0,3.0,3.0,0.6,7
proposal65_4,3.0,3.0,3.0,0.6,7
proposal66_4,3.0,3.0,3.0,0.6,7
proposal67_4,1.0,6.0,3.0,0.6,7
proposal68_4,3.0,3.0,3.0,0.6,7
proposal69_4,3.0,3.0,3.0,0.6,7
proposal70_4,1.0,6.0,3.0,0.6,7
proposal71_4,3.0,3.0,3.0,0.6,7
proposal72_4,3.0,3.0,3.0,0.6,7
proposal73_4,3.0,3.0,3.0,0.6,7
proposal74_4,3.0,4.0,3.0,0.6,7
proposal75_4,1.0,6.0,3.0,0.6,7
proposal76_4,2.0,3.0,3.0,0.6,7
proposal77_4,1.0,6.0,2.5,0.6,7
proposal78_4,2.0,2.0,2.0,0.6,7
proposal79_4,1.0,3.0,2.0,0.6,7
proposal80_4,2.0,2.0,2.0,0.6,7
proposal81_4,1.0,6.0,2.0,0.6,7
proposal82_4,1.0,2.0,2.0,0.6,7
proposal83_4,1.0,2.0,2.0,0.6,7
proposal84_4,1.0,2.0,2.0,0.6,7
proposal85_4,1.0,2.0,1.0,0.6,7
proposal86_4,1.0,1.0,1.0,0.6,7
proposal87_4,1.0,1.0,1.0,0.6,7
proposal88_4,1.0,6.0,1.0,0.6,7
proposal1_1,6.0,6.0,6.0,0.6,8
proposal2_1,5.0,6.0,6.0,0.6,8
proposal3_1,1.0,6.0,5.0,0.6,8
proposal4_1,5.0,6.0,6.0,0.6,8
proposal5_1,1.0,6.0,6.0,0.6,8
proposal6_1,5.0,6.0,5.0,0.6,8
proposal7_1,1.0,6.0,6.0,0.6,8
proposal8_1,1.0,6.0,5.0,0.6,8
proposal9_1,5.0,6.0,5.0,0.6,8
proposal10_1,1.0,6.0,5.0,0.6,8
proposal11_1,1.0,6.0,5.0,0.6,8
proposal12_1,1.0,6.0,5.0,0.6,8
proposal13_1,1.0,6.0,5.0,0.6,8
proposal14_1,5.0,5.0,5.0,0.6,8
proposal15_1,1.0,6.0,5.0,0.6,8
proposal16_1,1.0,6.0,5.0,0.6,8
proposal17_1,5.0,5.0,5.0,0.6,8
proposal18_1,4.0,5.0,5.0,0.6,8
proposal19_1,1.0,6.0,5.0,0.6,8
proposal20_1,5.0,5.0,5.0,0.6,8
proposal21_1,4.0,5.0,5.0,0.6,8
proposal22_1,1.0,6.0,4.5,0.6,8
proposal23_1,4.0,5.0,5.0,0.6,8
proposal24_1,1.0,6.0,5.0,0.6,8
proposal25_1,1.0,6.0,5.0,0.6,8
proposal26_1,1.0,6.0,4.0,0.6,8
proposal27_1,4.0,5.0,4.0,0.6,8
proposal28_1,4.0,5.0,4.0,0.6,8
proposal29_1,4.0,5.0,4.0,0.6,8
proposal30_1,1.0,6.0,5.0,0.6,8
proposal31_1,4.0,5.0,4.5,0.6,8
proposal32_1,4.0,5.0,5.0,0.6,8
proposal33_1,4.0,5.0,4.0,0.6,8
proposal34_1,1.0,6.0,5.0,0.6,8
proposal35_1,1.0,6.0,4.0,0.6,8
proposal36_1,4.0,5.0,4.0,0.6,8
proposal37_1,1.0,6.0,4.0,0.6,8
proposal38_1,4.0,5.0,4.0,0.6,8
proposal39_1,4.0,4.0,4.0,0.6,8
proposal40_1,4.0,4.0,4.0,0.6,8
proposal41_1,1.0,6.0,4.0,0.6,8
proposal42_1,1.0,6.0,4.0,0.6,8
proposal43_1,1.0,6.0,4.0,0.6,8
proposal44_1,1.0,6.0,4.0,0.6,8
proposal45_1,1.0,6.0,3.0,0.6,8
proposal46_1,4.0,4.0,4.0,0.6,8
proposal47_1,3.0,4.0,4.0,0.6,8
proposal48_1,4.0,4.0,4.0,0.6,8
proposal49_1,1.0,6.0,4.0,0.6,8
proposal50_1,1.0,6.0,3.5,0.6,8
proposal51_1,3.0,4.0,4.0,0.6,8
proposal52_1,3.0,4.0,3.5,0.6,8
proposal53_1,1.0,6.0,3.0,0.6,8
proposal54_1,3.0,4.0,3.0,0.6,8
proposal55_1,1.0,6.0,3.5,0.6,8
proposal56_1,1.0,6.0,3.5,0.6,8
proposal57_1,1.0,6.0,4.0,0.6,8
proposal58_1,3.0,4.0,3.0,0.6,8
proposal59_1,1.0,6.0,3.0,0.6,8
proposal60_1,1.0,6.0,3.0,0.6,8
proposal61_1,3.0,4.0,3.0,0.6,8
proposal62_1,3.0,3.0,3.0,0.6,8
proposal63_1,1.0,6.0,3.0,0.6,8
proposal64_1,3.0,3.0,3.0,0.6,8
proposal65_1,3.0,4.0,3.0,0.6,8
proposal66_1,3.0,3.0,3.0,0.6,8
proposal67_1,3.0,3.0,3.0,0.6,8
proposal68_1,1.0,6.0,3.0,0.6,8
proposal69_1,3.0,3.0,3.0,0.6,8
proposal70_1,1.0,6.0,3.0,0.6,8
proposal71_1,1.0,6.0,3.0,0.6,8
proposal72_1,3.0,3.0,3.0,0.6,8
proposal73_1,2.0,4.0,3.0,0.6,8
proposal74_1,3.0,3.0,3.0,0.6,8
proposal75_1,1.0,6.0,3.0,0.6,8
proposal76_1,1.0,6.0,3.0,0.6,8
proposal77_1,1.0,6.0,2.5,0.6,8
proposal78_1,2.0,3.0,2.5,0.6,8
proposal79_1,2.0,3.0,3.0,0.6,8
proposal80_1,2.0,3.0,2.0,0.6,8
proposal81_1,1.0,6.0,2.0,0.6,8
proposal82_1,2.0,2.0,2.0,0.6,8
proposal83_1,2.0,2.0,2.0,0.6,8
proposal84_1,2.0,2.0,2.0,0.6,8
proposal85_1,2.0,2.0,2.0,0.6,8
proposal86_1,2.0,2.0,2.0,0.6,8
proposal87_1,1.0,2.0,1.5,0.6,8
proposal1_2,5.0,6.0,6.0,0.6,8
proposal2_2,5.0,6.0,6.0,0.6,8
proposal3_2,6.0,6.0,6.0,0.6,8
proposal4_2,1.0,6.0,5.0,0.6,8
proposal5_2,5.0,6.0,5.0,0.6,8
proposal6_2,5.0,6.0,5.0,0.6,8
proposal7_2,5.0,6.0,5.0,0.6,8
proposal8_2,1.0,6.0,5.0,0.6,8
proposal9_2,1.0,6.0,5.0,0.6,8
proposal10_2,1.0,6.0,5.0,0.6,8
proposal11_2,1.0,6.0,5.0,0.6,8
proposal12_2,1.0,6.0,5.0,0.6,8
proposal13_2,5.0,5.0,5.0,0.6,8
proposal14_2,5.0,5.0,5.0,0.6,8
proposal15_2,5.0,5.0,5.0,0.6,8
proposal16_2,5.0,5.0,5.0,0.6,8
proposal17_2,1.0,6.0,5.0,0.6,8
proposal18_2,1.0,6.0,5.0,0.6,8
proposal19_2,5.0,5.0,5.0,0.6,8
proposal20_2,1.0,6.0,5.0,0.6,8
proposal21_2,5.0,5.0,5.0,0.6,8
proposal22_2,1.0,6.0,5.0,0.6,8
proposal23_2,1.0,6.0,5.0,0.6,8
proposal24_2,1.0,6.0,5.0,0.6,8
proposal25_2,5.0,5.0,5.0,0.6,8
proposal26_2,1.0,6.0,5.0,0.6,8
proposal27_2,1.0,6.0,5.0,0.6,8
proposal28_2,4.0,5.0,5.0,0.6,8
proposal29_2,4.0,5.0,5.0,0.6,8
proposal30_2,4.0,5.0,4.0,0.6,8
proposal31_2,4.0,5.0,4.0,0.6,8
proposal32_2,4.0,5.0,4.0,0.6,8
proposal33_2,4.0,4.0,4.0,0.6,8
proposal34_2,4.0,4.0,4.0,0.6,8
proposal35_2,4.0,4.0,4.0,0.6,8
proposal36_2,3.0,5.0,4.0,0.6,8
proposal37_2,4.0,5.0,4.0,0.6,8
proposal38_2,1.0,6.0,4.0,0.6,8
proposal39_2,1.0,6.0,4.0,0.6,8
proposal40_2,1.0,6.0,4.0,0.6,8
proposal41_2,4.0,4.0,4.0,0.6,8
proposal42_2,4.0,4.0,4.0,0.6,8
proposal43_2,4.0,4.0,4.0,0.6,8
proposal44_2,3.0,4.0,4.0,0.6,8
proposal45_2,4.0,4.0,4.0,0.6,8
proposal46_2,1.0,6.0,4.0,0.6,8
proposal47_2,4.0,4.0,4.0,0.6,8
proposal48_2,4.0,4.0,4.0,0.6,8
proposal49_2,1.0,6.0,4.0,0.6,8
proposal50_2,1.0,6.0,4.0,0.6,8
proposal51_2,3.0,4.0,4.0,0.6,8
proposal52_2,2.0,5.0,4.0,0.6,8
proposal53_2,1.0,6.0,3.0,0.6,8
proposal54_2,4.0,4.0,4.0,0.6,8
proposal55_2,1.0,6.0,4.0,0.6,8
proposal56_2,1.0,6.0,4.0,0.6,8
proposal57_2,3.0,4.0,3.0,0.6,8
proposal58_2,3.0,4.0,4.0,0.6,8
proposal59_2,3.0,4.0,4.0,0.6,8
proposal60_2,3.0,3.0,3.0,0.6,8
proposal61_2,3.0,4.0,3.5,0.6,8
proposal62_2,3.0,4.0,3.0,0.6,8
proposal63_2,3.0,3.0,3.0,0.6,8
proposal64_2,3.0,3.0,3.0,0.6,8
proposal65_2,3.0,4.0,3.0,0.6,8
proposal66_2,1.0,6.0,3.0,0.6,8
proposal67_2,3.0,3.0,3.0,0.6,8
proposal68_2,3.0,3.0,3.0,0.6,8
proposal69_2,3.0,3.0,3.0,0.6,8
proposal70_2,1.0,6.0,3.0,0.6,8
proposal71_2,1.0,6.0,3.0,0.6,8
proposal72_2,2.0,3.0,3.0,0.6,8
proposal73_2,1.0,6.0,3.0,0.6,8
proposal74_2,3.0,3.0,3.0,0.6,8
proposal75_2,3.0,3.0,3.0,0.6,8
proposal76_2,1.0,6.0,3.0,0.6,8
proposal77_2,1.0,6.0,3.0,0.6,8
proposal78_2,2.0,3.0,3.0,0.6,8
proposal79_2,2.0,3.0,3.0,0.6,8
proposal80_2,1.0,6.0,2.0,0.6,8
proposal81_2,2.0,3.0,2.5,0.6,8
proposal82_2,1.0,6.0,2.0,0.6,8
proposal83_2,2.0,3.0,2.5,0.6,8
proposal84_2,1.0,6.0,2.0,0.6,8
proposal85_2,2.0,3.0,2.0,0.6,8
proposal86_2,2.0,3.0,2.0,0.6,8
proposal87_2,2.0,2.0,2.0,0.6,8
proposal88_2,1.0,6.0,2.0,0.6,8
proposal89_2,2.0,2.0,2.0,0.6,8
proposal90_2,2.0,2.0,2.0,0.6,8
proposal91_2,1.0,2.0,2.0,0.6,8
proposal92_2,1.0,6.0,1.0,0.6,8
proposal1_3,6.0,6.0,6.0,0.6,8
proposal2_3,1.0,6.0,6.0,0.6,8
proposal3_3,6.0,6.0,6.0,0.6,8
proposal4_3,1.0,6.0,6.0,0.6,8
proposal5_3,1.0,6.0,5.5,0.6,8
proposal6_3,6.0,6.0,6.0,0.6,8
proposal7_3,1.0,6.0,5.0,0.6,8
proposal8_3,5.0,6.0,6.0,0.6,8
proposal9_3,1.0,6.0,5.5,0.6,8
proposal10_3,1.0,6.0,6.0,0.6,8
proposal11_3,1.0,6.0,5.0,0.6,8
proposal12_3,1.0,6.0,5.0,0.6,8
proposal13_3,1.0,6.0,5.0,0.6,8
proposal14_3,5.0,5.0,5.0,0.6,8
proposal15_3,5.0,6.0,5.0,0.6,8
proposal16_3,5.0,5.0,5.0,0.6,8
proposal17_3,5.0,5.0,5.0,0.6,8
proposal18_3,5.0,5.0,5.0,0.6,8
proposal19_3,5.0,5.0,5.0,0.6,8
proposal20_3,5.0,5.0,5.0,0.6,8
proposal21_3,1.0,6.0,5.0,0.6,8
proposal22_3,1.0,6.0,5.0,0.6,8
proposal23_3,5.0,5.0,5.0,0.6,8
proposal24_3,5.0,5.0,5.0,0.6,8
proposal25_3,4.0,5.0,5.0,0.6,8
proposal26_3,4.0,5.0,5.0,0.6,8
proposal27_3,5.0,5.0,5.0,0.6,8
proposal28_3,4.0,5.0,5.0,0.6,8
proposal29_3,1.0,6.0,4.0,0.6,8
proposal30_3,4.0,5.0,5.0,0.6,8
proposal31_3,1.0,6.0,5.0,0.6,8
proposal32_3,1.0,6.0,5.0,0.6,8
proposal33_3,4.0,4.0,4.0,0.6,8
proposal34_3,4.0,4.0,4.0,0.6,8
proposal35_3,1.0,6.0,4.0,0.6,8
proposal36_3,4.0,4.0,4.0,0.6,8
proposal37_3,1.0,6.0,4.0,0.6,8
proposal38_3,1.0,6.0,4.0,0.6,8
proposal39_3,4.0,5.0,4.0,0.6,8
proposal40_3,1.0,6.0,5.0,0.6,8
proposal41_3,4.0,4.0,4.0,0.6,8
proposal42_3,4.0,4.0,4.0,0.6,8
proposal43_3,1.0,6.0,4.0,0.6,8
proposal44_3,4.0,5.0,4.0,0.6,8
proposal45_3,4.0,4.0,4.0,0.6,8
proposal46_3,4.0,4.0,4.0,0.6,8
proposal47_3,3.0,5.0,3.5,0.6,8
proposal48_3,1.0,6.0,4.0,0.6,8
proposal49_3,1.0,6.0,4.0,0.6,8
proposal50_3,1.0,6.0,4.0,0.6,8
proposal51_3,1.0,6.0,4.0,0.6,8
proposal52_3,1.0,6.0,4.0,0.6,8
proposal53_3,3.0,4.0,4.0,0.6,8
proposal54_3,3.0,3.0,3.0,0.6,8
proposal55_3,3.0,3.0,3.0,0.6,8
proposal56_3,1.0,6.0,3.5,0.6,8
proposal57_3,1.0,6.0,3.0,0.6,8
proposal58_3,1.0,6.0,3.0,0.6,8
proposal59_3,3.0,4.0,3.0,0.6,8
proposal60_3,1.0,6.0,3.0,0.6,8
proposal61_3,3.0,4.0,3.0,0.6,8
proposal62_3,3.0,4.0,3.0,0.6,8
proposal63_3,1.0,6.0,3.0,0.6,8
proposal64_3,3.0,3.0,3.0,0.6,8
proposal65_3,3.0,4.0,3.0,0.6,8
proposal66_3,1.0,6.0,3.0,0.6,8
proposal67_3,1.0,6.0,3.0,0.6,8
proposal68_3,3.0,3.0,3.0,0.6,8
proposal69_3,1.0,6.0,3.0,0.6,8
proposal70_3,3.0,3.0,3.0,0.6,8
proposal71_3,3.0,3.0,3.0,0.6,8
proposal72_3,2.0,4.0,3.0,0.6,8
proposal73_3,1.0,6.0,3.0,0.6,8
proposal74_3,3.0,3.0,3.0,0.6,8
proposal75_3,3.0,3.0,3.0,0.6,8
proposal76_3,2.0,3.0,3.0,0.6,8
proposal77_3,1.0,6.0,2.5,0.6,8
proposal78_3,2.0,3.0,3.0,0.6,8
proposal79_3,1.0,6.0,2.0,0.6,8
proposal80_3,2.0,2.0,2.0,0.6,8
proposal81_3,2.0,2.0,2.0,0.6,8
proposal82_3,2.0,2.0,2.0,0.6,8
proposal83_3,1.0,6.0,2.0,0.6,8
proposal84_3,2.0,2.0,2.0,0.6,8
proposal85_3,2.0,2.0,2.0,0.6,8
proposal86_3,1.0,6.0,1.0,0.6,8
proposal1_4,6.0,6.0,6.0,0.6,8
proposal2_4,5.0,6.0,6.0,0.6,8
proposal3_4,5.0,6.0,6.0,0.6,8
proposal4_4,5.0,6.0,5.5,0.6,8
proposal5_4,5.0,6.0,5.5,0.6,8
proposal6_4,1.0,6.0,6.0,0.6,8
proposal7_4,5.0,6.0,5.0,0.6,8
proposal8_4,1.0,6.0,5.0,0.6,8
proposal9_4,5.0,6.0,5.0,0.6,8
proposal10_4,5.0,5.0,5.0,0.6,8
proposal11_4,5.0,5.0,5.0,0.6,8
proposal12_4,5.0,5.0,5.0,0.6,8
proposal13_4,5.0,5.0,5.0,0.6,8
proposal14_4,1.0,6.0,5.0,0.6,8
proposal15_4,5.0,5.0,5.0,0.6,8
proposal16_4,1.0,6.0,5.0,0.6,8
proposal17_4,1.0,6.0,5.0,0.6,8
proposal18_4,5.0,5.0,5.0,0.6,8
proposal19_4,4.0,5.0,5.0,0.6,8
proposal20_4,1.0,6.0,5.0,0.6,8
proposal21_4,4.0,5.0,5.0,0.6,8
proposal22_4,1.0,6.0,5.0,0.6,8
proposal23_4,4.0,5.0,4.0,0.6,8
proposal24_4,4.0,5.0,4.0,0.6,8
proposal25_4,1.0,6.0,4.5,0.6,8
proposal26_4,4.0,4.0,4.0,0.6,8
proposal27_4,4.0,4.0,4.0,0.6,8
proposal28_4,4.0,5.0,4.0,0.6,8
proposal29_4,4.0,5.0,4.0,0.6,8
proposal30_4,1.0,6.0,4.0,0.6,8
proposal31_4,4.0,5.0,4.0,0.6,8
proposal32_4,1.0,6.0,4.0,0.6,8
proposal33_4,1.0,6.0,4.0,0.6,8
proposal34_4,4.0,5.0,4.0,0.6,8
proposal35_4,1.0,6.0,4.0,0.6,8
proposal36_4,4.0,4.0,4.0,0.6,8
proposal37_4,4.0,4.0,4.0,0.6,8
proposal38_4,4.0,4.0,4.0,0.6,8
proposal39_4,4.0,4.0,4.0,0.6,8
proposal40_4,4.0,4.0,4.0,0.6,8
proposal41_4,4.0,4.0,4.0,0.6,8
proposal42_4,3.0,4.0,4.0,0.6,8
proposal43_4,1.0,6.0,4.0,0.6,8
proposal44_4,3.0,4.0,4.0,0.6,8
proposal45_4,1.0,6.0,4.0,0.6,8
proposal46_4,1.0,6.0,4.0,0.6,8
proposal47_4,4.0,4.0,4.0,0.6,8
proposal48_4,4.0,4.0,4.0,0.6,8
proposal49_4,3.0,4.0,4.0,0.6,8
proposal50_4,3.0,4.0,4.0,0.6,8
proposal51_4,3.0,4.0,3.0,0.6,8
proposal52_4,1.0,6.0,4.0,0.6,8
proposal53_4,3.0,4.0,3.5,0.6,8
proposal54_4,1.0,6.0,3.0,0.6,8
proposal55_4,3.0,3.0,3.0,0.6,8
proposal56_4,1.0,6.0,3.0,0.6,8
proposal57_4,3.0,3.0,3.0,0.6,8
proposal58_4,1.0,6.0,3.0,0.6,8
proposal59_4,3.0,3.0,3.0,0.6,8
proposal60_4,3.0,4.0,3.0,0.6,8
proposal61_4,1.0,6.0,3.0,0.6,8
proposal62_4,3.0,4.0,3.0,0.6,8
proposal63_4,1.0,6.0,3.0,0.6,8
proposal64_4,3.0,4.0,3.0,0.6,8
proposal65_4,3.0,3.0,3.0,0.6,8
proposal66_4,3.0,3.0,3.0,0.6,8
proposal67_4,3.0,3.0,3.0,0.6,8
proposal68_4,3.0,3.0,3.0,0.6,8
proposal69_4,1.0,6.0,3.0,0.6,8
proposal70_4,3.0,3.0,3.0,0.6,8
proposal71_4,3.0,3.0,3.0,0.6,8
proposal72_4,3.0,3.0,3.0,0.6,8
proposal73_4,3.0,3.0,3.0,0.6,8
proposal74_4,3.0,4.0,3.0,0.6,8
proposal75_4,2.0,3.0,3.0,0.6,8
proposal76_4,3.0,3.0,3.0,0.6,8
proposal77_4,2.0,3.0,3.0,0.6,8
proposal78_4,1.0,6.0,2.5,0.6,8
proposal79_4,1.0,3.0,2.0,0.6,8
proposal80_4,1.0,6.0,2.0,0.6,8
proposal81_4,1.0,6.0,2.0,0.6,8
proposal82_4,2.0,2.0,2.0,0.6,8
proposal83_4,1.0,2.0,2.0,0.6,8
proposal84_4,1.0,2.0,2.0,0.6,8
proposal85_4,1.0,2.0,1.0,0.6,8
proposal86_4,1.0,6.0,1.0,0.6,8
proposal87_4,1.0,1.0,1.0,0.6,8
proposal88_4,1.0,6.0,1.0,0.6,8
proposal1_1,6.0,6.0,6.0,0.6,9
proposal2_1,1.0,6.0,6.0,0.6,9
proposal3_1,1.0,6.0,6.0,0.6,9
proposal4_1,6.0,6.0,6.0,0.6,9
proposal5_1,1.0,6.0,6.0,0.6,9
proposal6_1,1.0,6.0,5.0,0.6,9
proposal7_1,1.0,6.0,5.0,0.6,9
proposal8_1,5.0,5.0,5.0,0.6,9
proposal9_1,4.0,6.0,5.0,0.6,9
proposal10_1,1.0,6.0,5.0,0.6,9
proposal11_1,1.0,6.0,5.0,0.6,9
proposal12_1,4.0,5.0,5.0,0.6,9
proposal13_1,5.0,5.0,5.0,0.6,9
proposal14_1,1.0,6.0,5.0,0.6,9
proposal15_1,5.0,5.0,5.0,0.6,9
proposal16_1,1.0,6.0,5.0,0.6,9
proposal17_1,4.0,5.0,5.0,0.6,9
proposal18_1,1.0,6.0,5.0,0.6,9
proposal19_1,1.0,6.0,5.0,0.6,9
proposal20_1,4.0,5.0,5.0,0.6,9
proposal21_1,4.0,5.0,5.0,0.6,9
proposal22_1,4.0,5.0,5.0,0.6,9
proposal23_1,1.0,6.0,4.5,0.6,9
proposal24_1,4.0,5.0,5.0,0.6,9
proposal25_1,1.0,6.0,4.5,0.6,9
proposal26_1,4.0,5.0,5.0,0.6,9
proposal27_1,1.0,6.0,4.0,0.6,9
proposal28_1,1.0,6.0,4.0,0.6,9
proposal29_1,1.0,6.0,5.0,0.6,9
proposal30_1,1.0,6.0,4.0,0.6,9
proposal31_1,4.0,5.0,5.0,0.6,9
proposal32_1,4.0,5.0,4.0,0.6,9
proposal33_1,4.0,5.0,4.0,0.6,9
proposal34_1,1.0,6.0,4.0,0.6,9
proposal35_1,1.0,6.0,4.0,0.6,9
proposal36_1,4.0,4.0,4.0,0.6,9
proposal37_1,1.0,6.0,4.0,0.6,9
proposal38_1,3.0,5.0,4.0,0.6,9
proposal39_1,4.0,4.0,4.0,0.6,9
proposal40_1,4.0,4.0,4.0,0.6,9
proposal41_1,1.0,6.0,4.0,0.6,9
proposal42_1,3.0,4.0,4.0,0.6,9
proposal43_1,4.0,4.0,4.0,0.6,9
proposal44_1,4.0,4.0,4.0,0.6,9
proposal45_1,3.0,5.0,3.0,0.6,9
proposal46_1,4.0,4.0,4.0,0.6,9
proposal47_1,3.0,4.0,4.0,0.6,9
proposal48_1,3.0,4.0,4.0,0.6,9
proposal49_1,1.0,6.0,4.0,0.6,9
proposal50_1,3.0,4.0,3.5,0.6,9
proposal51_1,3.0,4.0,3.0,0.6,9
proposal52_1,3.0,4.0,3.5,0.6,9
proposal53_1,1.0,6.0,3.5,0.6,9
proposal54_1,3.0,4.0,4.0,0.6,9
proposal55_1,1.0,6.0,3.0,0.6,9
proposal56_1,3.0,4.0,3.5,0.6,9
proposal57_1,1.0,6.0,3.0,0.6,9
proposal58_1,3.0,4.0,3.0,0.6,9
proposal59_1,3.0,4.0,3.0,0.6,9
proposal60_1,1.0,6.0,3.5,0.6,9
proposal61_1,3.0,3.0,3.0,0.6,9
proposal62_1,1.0,6.0,4.0,0.6,9
proposal63_1,3.0,3.0,3.0,0.6,9
proposal64_1,3.0,3.0,3.0,0.6,9
proposal65_1,3.0,4.0,3.0,0.6,9
proposal66_1,1.0,6.0,3.0,0.6,9
proposal67_1,1.0,6.0,3.0,0.6,9
proposal68_1,3.0,3.0,3.0,0.6,9
proposal69_1,1.0,6.0,3.0,0.6,9
proposal70_1,1.0,6.0,3.0,0.6,9
proposal71_1,1.0,6.0,3.0,0.6,9
proposal72_1,1.0,6.0,3.0,0.6,9
proposal73_1,2.0,4.0,3.0,0.6,9
proposal74_1,3.0,3.0,3.0,0.6,9
proposal75_1,1.0,6.0,3.0,0.6,9
proposal76_1,2.0,3.0,2.5,0.6,9
proposal77_1,2.0,3.0,3.0,0.6,9
proposal78_1,2.0,3.0,3.0,0.6,9
proposal79_1,2.0,3.0,2.0,0.6,9
proposal80_1,1.0,6.0,2.0,0.6,9
proposal81_1,2.0,2.0,2.0,0.6,9
proposal82_1,1.0,6.0,2.0,0.6,9
proposal83_1,1.0,6.0,2.0,0.6,9
proposal84_1,2.0,2.0,2.0,0.6,9
proposal85_1,1.0,6.0,2.0,0.6,9
proposal86_1,1.0,2.0,2.0,0.6,9
proposal87_1,1.0,2.0,1.5,0.6,9
proposal1_2,5.0,6.0,6.0,0.6,9
proposal2_2,1.0,6.0,5.5,0.6,9
proposal3_2,6.0,6.0,6.0,0.6,9
proposal4_2,1.0,6.0,5.0,0.6,9
proposal5_2,5.0,5.0,5.0,0.6,9
proposal6_2,1.0,6.0,5.0,0.6,9
proposal7_2,1.0,6.0,5.0,0.6,9
proposal8_2,5.0,5.0,5.0,0.6,9
proposal9_2,5.0,5.0,5.0,0.6,9
proposal10_2,5.0,5.0,5.0,0.6,9
proposal11_2,1.0,6.0,5.0,0.6,9
proposal12_2,5.0,5.0,5.0,0.6,9
proposal13_2,1.0,6.0,5.0,0.6,9
proposal14_2,5.0,5.0,5.0,0.6,9
proposal15_2,1.0,6.0,5.0,0.6,9
proposal16_2,1.0,6.0,5.0,0.6,9
proposal17_2,4.0,5.0,5.0,0.6,9
proposal18_2,5.0,5.0,5.0,0.6,9
